date,ethereum,polygon,arbitrum,optimism,bnb,gnosis,avalanche
2023-04-05,0.44,0.01,0.47,0.18,0.43,0.6,0.22
2023-04-06,0.53,0.01,0.64,0.15,0.24,0.63,0.42
2023-04-07,0.53,0.01,0.53,0.32,0.45,0.64,0.36
2023-04-08,0.82,0.01,0.49,0.48,0.32,0.6,0.42
2023-04-09,0.56,0.01,0.62,0.42,0.5,0.65,0.89
2023-04-10,0.43,0.01,0.32,0.4,0.26,0.62,0.68
2023-04-11,0.68,0.01,0.79,1.1,0.2,0.72,0.94
2023-04-12,0.66,0.01,0.53,0.58,0.86,0.89,0.47
2023-04-13,0.76,0.01,0.39,0.46,0.89,0.75,0.75
2023-04-14,0.68,0.01,0.65,0.43,0.82,0.25,0.75
2023-04-15,0.8,0.01,1.31,0.27,0.62,0.79,0.18
2023-04-16,0.86,0.01,0.79,0.18,0.52,0.78,0.31
2023-04-17,0.89,0.02,0.64,0.23,0.48,0.89,0.94
2023-04-18,0.55,0.0,0.44,0.4,0.68,0.77,1.88
2023-04-19,0.57,0.01,0.62,0.58,0.33,0.02,1.04
2023-04-20,0.45,0.01,0.41,0.48,0.51,0.21,0.18
2023-04-21,0.55,0.01,0.54,0.48,0.35,0.03,0.0
2023-04-22,0.71,0.01,0.49,0.66,0.61,0.28,0.0
2023-04-23,0.83,0.01,0.89,0.7,0.5,0.46,1.5
2023-04-24,1.1,0.01,0.64,0.28,0.28,0.62,0.62
2023-04-25,1.11,0.01,0.67,0.7,0.71,0.86,0.98
2023-04-26,0.7,0.01,0.58,0.62,0.72,0.64,1.56
2023-04-27,0.67,0.01,0.45,0.65,0.85,0.37,0.62
2023-04-28,0.55,0.01,0.74,0.24,0.69,0.17,0.62
2023-04-29,0.39,0.0,0.45,0.6,0.61,0.2,1.67
2023-04-30,0.88,0.0,0.55,0.4,1.31,0.52,1.0
2023-05-01,0.79,0.01,0.45,0.38,0.57,0.05,1.04
2023-05-02,1.31,0.01,0.74,0.19,0.62,0.25,1.07
2023-05-03,0.71,0.01,0.13,0.04,0.34,0.17,0.09
2023-05-04,0.76,0.01,0.38,0.29,0.1,0.3,0.04
2023-05-05,0.64,0.0,1.29,0.62,0.45,0.48,0.62
2023-05-06,0.67,0.0,0.42,0.21,0.41,0.44,0.0
2023-05-07,0.5,0.0,1.14,0.56,0.54,0.41,0.54
2023-05-08,0.61,0.0,0.58,0.0,0.78,0.48,0.34
2023-05-09,0.44,0.0,0.52,0.33,0.44,0.47,1.25
2023-05-10,0.71,0.0,0.49,0.57,0.59,0.38,0.42
2023-05-11,0.57,0.0,0.35,0.31,0.59,0.41,0.62
2023-05-12,0.46,0.01,0.02,0.33,0.33,0.41,0.54
2023-05-13,0.57,0.01,0.57,0.22,0.32,0.42,0.0
2023-05-14,0.61,0.0,0.02,0.42,0.43,0.27,0.0
2023-05-15,0.46,0.0,0.09,0.15,0.41,0.41,0.0
2023-05-16,0.6,0.0,0.09,0.25,0.28,0.38,0.01
2023-05-17,0.37,0.0,0.06,0.33,0.39,0.23,0.01
2023-05-18,0.33,0.0,0.05,0.22,0.49,0.36,0.0
2023-05-19,0.33,0.0,0.49,0.37,0.36,0.26,0.0
2023-05-20,0.52,0.0,0.23,0.4,0.43,0.42,0.01
2023-05-21,0.66,0.0,0.35,0.51,0.3,0.31,0.0
2023-05-22,0.59,0.0,0.6,0.2,0.35,0.67,0.01
2023-05-23,0.43,0.0,0.7,0.23,0.31,0.42,0.5
2023-05-24,0.53,0.0,0.4,0.26,0.3,0.17,0.0
2023-05-25,0.27,0.0,0.36,0.58,0.37,0.22,0.0
2023-05-26,0.49,0.0,0.17,0.59,0.5,0.36,0.01
2023-05-27,0.76,0.0,0.82,0.91,0.3,0.18,0.0
2023-05-28,0.9,0.0,1.02,0.51,0.48,0.32,0.04
2023-05-29,0.56,0.01,0.58,0.68,0.29,0.32,0.01
2023-05-30,0.56,0.0,0.56,0.62,0.39,0.06,0.0
2023-05-31,0.49,0.0,0.0,0.35,0.32,0.21,0.0
2023-06-01,0.62,0.0,0.1,0.12,0.36,0.32,0.0
