,date,arbitrum,avalanche_c,bnb,ethereum,fantom,gnosis,goerli,optimism,polygon
0,2023-04-13,97.0,5.0,45.0,91.0,8.0,339.0,102.0,38.0,7674.0
1,2023-04-14,93.0,5.0,52.0,117.0,4.0,2051.0,93.0,44.0,7289.0
2,2023-04-15,86.0,7.0,50.0,80.0,3.0,447.0,116.0,28.0,7379.0
3,2023-04-16,68.0,4.0,50.0,94.0,4831.0,300.0,72.0,34.0,5753.0
4,2023-04-17,72.0,4.0,68.0,90.0,1.0,254.0,114.0,38.0,6604.0
5,2023-04-18,71.0,8.0,50.0,96.0,1.0,179.0,145.0,31.0,7071.0
6,2023-04-19,52.0,6.0,73.0,114.0,0.0,4466.0,147.0,30.0,6441.0
7,2023-04-20,88.0,7.0,54.0,138.0,2.0,389.0,114.0,31.0,7187.0
8,2023-04-21,76.0,2.0,47.0,170.0,3.0,1733.0,118.0,26.0,7566.0
9,2023-04-22,66.0,3.0,47.0,119.0,3.0,209.0,31.0,19.0,6878.0
10,2023-04-23,62.0,5.0,45.0,98.0,0.0,237.0,41.0,25.0,6201.0
11,2023-04-24,61.0,6.0,63.0,171.0,3.0,207.0,117.0,27.0,5857.0
12,2023-04-25,144.0,14.0,83.0,187.0,2.0,349.0,146.0,70.0,5926.0
13,2023-04-26,88.0,12.0,52.0,96.0,6.0,159.0,114.0,44.0,6652.0
14,2023-04-27,73.0,6.0,63.0,150.0,1.0,118.0,99.0,31.0,4737.0
15,2023-04-28,76.0,8.0,67.0,80.0,1.0,192.0,83.0,36.0,4249.0
16,2023-04-29,42.0,6.0,47.0,99.0,1.0,115.0,34.0,25.0,5162.0
17,2023-04-30,52.0,5.0,41.0,70.0,2.0,115.0,36.0,25.0,6328.0
18,2023-05-01,42.0,6.0,37.0,70.0,0.0,98.0,59.0,20.0,4984.0
19,2023-05-02,49.0,7.0,78.0,45.0,0.0,84.0,71.0,26.0,5974.0
20,2023-05-03,85.0,111.0,109.0,69.0,0.0,117.0,80.0,94.0,6293.0
21,2023-05-04,73.0,154.0,227.0,91.0,4.0,80.0,101.0,30.0,7103.0
22,2023-05-05,34.0,8.0,70.0,57.0,0.0,65.0,52.0,6.0,6584.0
23,2023-05-06,39.0,2.0,46.0,28.0,0.0,86.0,15.0,6.0,6361.0
24,2023-05-07,23.0,7.0,39.0,40.0,0.0,58.0,3.0,9.0,5698.0
25,2023-05-08,39.0,11.0,43.0,105.0,3.0,106.0,23.0,12.0,8560.0
26,2023-05-09,46.0,1.0,62.0,82.0,0.0,88.0,87.0,23.0,16151.0
27,2023-05-10,61.0,9.0,143.0,102.0,1.0,80.0,106.0,11.0,28056.0
28,2023-05-11,89.0,10.0,85.0,96.0,2.0,85.0,71.0,12.0,17603.0
29,2023-05-12,1195.0,14.0,71.0,68.0,2.0,101.0,109.0,15.0,13593.0
30,2023-05-13,50.0,1.0,94.0,73.0,0.0,98.0,81.0,23.0,10942.0
31,2023-05-14,627.0,413.0,75.0,84.0,0.0,202.0,60.0,3.0,11844.0
32,2023-05-15,262.0,1312.0,61.0,84.0,0.0,85.0,67.0,25.0,18116.0
33,2023-05-16,315.0,191.0,90.0,94.0,3.0,72.0,82.0,35.0,19353.0
34,2023-05-17,543.0,102.0,97.0,117.0,0.0,120.0,90.0,23.0,14914.0
35,2023-05-18,459.0,670.0,43.0,111.0,0.0,98.0,58.0,28.0,12723.0
36,2023-05-19,43.0,778.0,56.0,105.0,1.0,67.0,61.0,34.0,14478.0
37,2023-05-20,86.0,464.0,41.0,106.0,0.0,45.0,24.0,25.0,15710.0
38,2023-05-21,36.0,2.0,72.0,72.0,0.0,45.0,27.0,17.0,15170.0
39,2023-05-22,54.0,408.0,46.0,79.0,0.0,43.0,71.0,32.0,12667.0
40,2023-05-23,41.0,5.0,89.0,97.0,1.0,36.0,100.0,27.0,12468.0
41,2023-05-24,69.0,785.0,99.0,117.0,2.0,37.0,92.0,39.0,12797.0
42,2023-05-25,63.0,444.0,51.0,125.0,0.0,46.0,90.0,13.0,13741.0
43,2023-05-26,154.0,614.0,58.0,148.0,0.0,55.0,81.0,17.0,9434.0
44,2023-05-27,26.0,873.0,55.0,159.0,0.0,42.0,25.0,11.0,14967.0
45,2023-05-28,33.0,69.0,26.0,114.0,0.0,47.0,22.0,22.0,10193.0
46,2023-05-29,39.0,847.0,56.0,96.0,2.0,70.0,76.0,11.0,10219.0
47,2023-05-30,36.0,869.0,54.0,78.0,3.0,65.0,75.0,12.0,12006.0
48,2023-05-31,1698.0,744.0,74.0,81.0,0.0,42.0,80.0,25.0,11102.0
49,2023-06-01,293.0,505.0,48.0,100.0,6.0,55.0,74.0,50.0,11254.0
50,2023-06-02,87.0,5.0,46.0,105.0,0.0,49.0,84.0,26.0,12061.0
51,2023-06-03,79.0,4.0,33.0,76.0,1.0,61.0,30.0,36.0,10484.0
52,2023-06-04,95.0,1.0,49.0,94.0,0.0,46.0,27.0,20.0,10160.0
53,2023-06-05,99.0,9.0,78.0,117.0,2.0,53.0,103.0,53.0,10544.0
54,2023-06-06,109.0,11.0,69.0,97.0,4.0,61.0,79.0,41.0,11526.0
55,2023-06-07,1411.0,2421.0,189.0,104.0,0.0,109.0,68.0,387.0,10589.0
56,2023-06-08,939.0,418.0,75.0,115.0,0.0,70.0,58.0,25.0,9345.0
57,2023-06-09,495.0,82.0,68.0,104.0,1.0,70.0,77.0,30.0,9293.0
58,2023-06-10,208.0,45.0,30.0,89.0,1.0,48.0,47.0,20.0,10428.0
59,2023-06-11,90.0,25.0,37.0,122.0,0.0,65.0,28.0,26.0,9318.0
60,2023-06-12,97.0,18.0,95.0,280.0,1.0,76.0,143.0,42.0,8819.0
